,role,Sector,states,min salary,max salary,mean salary
1,DS,Consumer Services, NY,111,181,146.0
3,DS,Information Technology, NJ,111,181,146.0
4,DS,Business Services, NY,111,181,146.0
5,DS,Insurance, NY,111,181,146.0
6,DS,Finance, NY,111,181,146.0
8,DS,Information Technology, NY,111,181,146.0
9,DS,Finance, NY,111,181,146.0
10,DS,Information Technology, NY,111,181,146.0
11,DS,Information Technology, NY,111,181,146.0
12,DS,Information Technology, NY,111,181,146.0
13,DS,Finance, NY,111,181,146.0
14,DS,Finance, NY,111,181,146.0
15,DS,Business Services, NY,111,181,146.0
16,DS,Retail, NY,111,181,146.0
17,DS,Business Services, NY,111,181,146.0
18,DS,Retail, NY,111,181,146.0
19,DS,Business Services, NY,111,181,146.0
20,DS,Media, NY,111,181,146.0
21,DS,Information Technology, NY,111,181,146.0
22,DS,Finance, NY,111,181,146.0
23,DS,Information Technology, NY,111,181,146.0
24,DS,Business Services, NY,111,181,146.0
25,DS,Information Technology, NY,111,181,146.0
26,DS,Information Technology, NY,111,181,146.0
27,DS,Insurance, NY,111,181,146.0
28,DS,Consumer Services, NY,111,181,146.0
29,DS,Insurance, NY,111,181,146.0
30,DS,Information Technology, NY,120,140,130.0
31,DS,Information Technology, NY,120,140,130.0
32,DS,Finance, NY,120,140,130.0
33,DS,Business Services, NY,120,140,130.0
34,DS,Insurance, NY,120,140,130.0
35,DS,Information Technology, NY,120,140,130.0
37,DS,Retail, NY,120,140,130.0
41,DS,Finance, NY,120,140,130.0
42,DS,Business Services, NY,120,140,130.0
43,DS,Information Technology, NY,120,140,130.0
45,DS,Non-Profit, NY,120,140,130.0
46,DS,Retail, NY,120,140,130.0
47,DS,Business Services, NY,120,140,130.0
48,DS,Finance, NY,120,140,130.0
49,DS,Education, NY,120,140,130.0
50,DS,Finance, NY,120,140,130.0
51,DS,Finance, NY,120,140,130.0
52,DS,Information Technology, NY,120,140,130.0
53,DS,Information Technology, NY,120,140,130.0
54,DS,Insurance, NY,120,140,130.0
56,DS,Business Services, NY,120,140,130.0
57,DS,Information Technology, NY,120,140,130.0
58,DS,Information Technology, NY,120,140,130.0
59,DS,Information Technology, NY,120,140,130.0
60,DS,Information Technology, NY,119,147,133.0
62,DS,Information Technology, NY,119,147,133.0
64,DS,Business Services, NY,119,147,133.0
65,DS,Finance, NJ,119,147,133.0
66,DS,Finance, NY,119,147,133.0
67,DS,Business Services, NY,119,147,133.0
68,DS,Finance, NY,119,147,133.0
69,DS,Information Technology, NY,119,147,133.0
70,DS,Non-Profit, NY,119,147,133.0
71,DS,Information Technology, NY,119,147,133.0
72,DS,Business Services, NY,119,147,133.0
74,DS,Information Technology, NY,74,124,99.0
75,DS,Media, NJ,74,124,99.0
76,DS,Finance, NY,74,124,99.0
77,DS,Media, NY,74,124,99.0
78,DS,Information Technology, NY,74,124,99.0
79,DS,Business Services, NY,74,124,99.0
80,DS,Government, NY,74,124,99.0
81,DS,Health Care, NY,74,124,99.0
83,DS,Information Technology, NY,74,124,99.0
84,DS,Information Technology, NY,74,124,99.0
85,DS,Information Technology, NY,74,124,99.0
86,DS,Finance, NY,74,124,99.0
87,DS,Information Technology, NY,74,124,99.0
88,DS,Business Services, NY,74,124,99.0
90,DS,Information Technology, NY,74,124,99.0
91,DS,"Oil, Gas, Energy & Utilities", NY,74,124,99.0
92,DS,Business Services, NY,74,124,99.
93,DS,Health Care, NY,74,124,99.0
94,DS,Information Technology, NY,74,124,99.0
96,DS,Retail, NY,74,124,99.0
97,DS,Retail, NY,74,124,99.0
98,DS,Business Services, NY,74,124,99.0
99,DS,Finance, NY,74,124,99.0
100,DS,Finance, NY,74,124,99.0
101,DS,Information Technology, NY,74,124,99.0
102,DS,Business Services, NY,74,124,99.0
103,DS,Business Services, NY,74,124,99.0
104,DS,Information Technology, NY,102,121,111.5
106,DS,Non-Profit, NY,102,121,111.5
107,DS,Business Services, NY,102,121,111.5
108,DS,Finance, NY,102,121,111.5
109,DS,Business Services, NY,102,121,111.5
110,DS,Business Services, NY,102,121,111.5
111,DS,Business Services, NY,102,121,111.5
112,DS,Business Services, NY,102,121,111.5
113,DS,Government, NY,102,121,111.5
114,DS,Retail, NY,102,121,111.5
115,DS,Information Technology, NY,102,121,111.5
116,DS,Information Technology, NY,102,121,111.5
118,DS,Information Technology, NY,102,121,111.5
119,DS,Finance, NY,102,121,111.5
120,DS,Media, NY,102,121,111.5
121,DS,Information Technology, NY,102,121,111.5
122,DS,Health Care, NY,102,121,111.5
123,DS,Information Technology, NY,102,121,111.5
125,DS,Information Technology, NY,102,121,111.5
126,DS,Information Technology, NY,102,121,111.5
127,DS,Finance, NY,102,121,111.5
128,DS,Information Technology, NY,102,121,111.5
130,DS,Accounting & Legal, NY,102,121,111.5
132,DS,Consumer Services, NY,102,121,111.5
133,DS,Media, NJ,102,121,111.5
135,DS,Information Technology, NY,129,210,169.5
136,DS,Information Technology, NY,129,210,169.5
137,DS,Education, NY,129,210,169.5
138,DS,Information Technology, NY,129,210,169.5
139,DS,Information Technology, NJ,129,210,169.5
140,DS,Information Technology, NY,129,210,169.5
141,DS,Business Services, NY,129,210,169.5
143,DS,Information Technology, NY,129,210,169.5
144,DS,Information Technology, NY,129,210,169.5
145,DS,Information Technology, NJ,129,210,169.5
147,DS,Manufacturing, NY,129,210,169.5
148,DS,Business Services, NY,129,210,169.5
149,DS,Finance, NY,129,210,169.5
150,DS,Business Services, NY,129,210,169.5
153,DS,Business Services, NY,129,210,169.5
154,DS,Information Technology, NY,129,210,169.5
155,DS,Information Technology, NY,129,210,169.5
156,DS,Business Services, NY,129,210,169.5
158,DS,Information Technology, NY,129,210,169.5
160,DS,Finance, NY,129,210,169.5
161,DS,Business Services, NY,129,210,169.5
162,DS,Health Care, NY,129,210,169.5
163,DS,Insurance, NY,129,210,169.5
164,DS,Business Services, NY,156,254,205.0
165,DS,Information Technology, NY,156,254,205.0
166,DS,Health Care, NY,156,254,205.0
167,DS,Government, NY,156,254,205.0
168,DS,Health Care, NY,156,254,205.0
169,DS,Insurance, NY,156,254,205.0
171,DS,Real Estate, NY,156,254,205.0
172,DS,Information Technology, NY,156,254,205.0
173,DS,Information Technology, NY,156,254,205.0
175,DS,Health Care, NY,156,254,205.0
176,DS,Information Technology, NY,156,254,205.0
178,DS,Information Technology, NY,156,254,205.0
180,DS,Information Technology, NY,156,254,205.0
181,DS,Information Technology, NY,156,254,205.0
183,DS,Retail, NY,156,254,205.0
186,DS,Information Technology, NY,156,254,205.0
189,DS,Health Care, NY,156,254,205.0
190,DS,Information Technology, NY,156,254,205.0
192,DS,Information Technology, NY,156,254,205.0
194,DS,Retail, NY,119,147,133.0
195,DS,Information Technology, NY,119,147,133.0
197,DS,Information Technology, NY,119,147,133.0
198,DS,Business Services, NY,119,147,133.0
199,DS,Information Technology, NY,119,147,133.0
200,DS,Consumer Services, NY,119,147,133.0
201,DS,Business Services, NY,119,147,133.0
202,DS,Media, NY,119,147,133.0
203,DS,Information Technology, NY,119,147,133.0
204,DS,Business Services, NY,119,147,133.0
205,DS,Insurance, NY,119,147,133.0
206,DS,Biotech & Pharmaceuticals, NY,119,147,133.0
207,DS,Business Services, NY,119,147,133.0
208,DS,Finance, NY,119,147,133.0
210,DS,Retail, NY,119,147,133.0
211,DS,Information Technology, NY,119,147,133.0
212,DS,Business Services, NY,119,147,133.0
213,DS,Information Technology, NY,119,147,133.0
214,DS,Business Services, NJ,119,147,133.0
215,DS,Business Services, NY,119,147,133.0
216,DS,Information Technology, NY,119,147,133.0
217,DS,Business Services, NJ,119,147,133.0
218,DS,Business Services, NY,119,147,133.0
220,DS,Business Services, NY,119,147,133.0
221,DS,Insurance, NY,119,147,133.0
222,DS,Insurance, NY,119,147,133.0
223,DS,Health Care, NY,119,147,133.0
224,DS,Finance, NY,116,152,134.0
226,DS,Health Care, NY,116,152,134.0
227,DS,Finance, NY,116,152,134.0
228,DS,Consumer Services, NY,116,152,134.0
229,DS,Finance, NY,116,152,134.0
230,DS,Business Services, NY,116,152,134.0
231,DS,Information Technology, NY,116,152,134.0
232,DS,Business Services, NY,116,152,134.0
233,DS,Information Technology, NY,116,152,134.0
234,DS,Retail, NY,116,152,134.0
235,DS,Business Services, NY,116,152,134.0
236,DS,Finance, NJ,116,152,134.0
237,DS,Information Technology, NY,116,152,134.0
238,DS,Information Technology, NY,116,152,134.0
239,DS,Finance, NY,116,152,134.0
240,DS,Media, NY,116,152,134.0
241,DS,Information Technology, NY,116,152,134.0
242,DS,Insurance, NY,133,171,152.0
243,DS,Media, NY,133,171,152.0
244,DS,Business Services, NY,133,171,152.0
247,DS,Information Technology, NY,133,171,152.0
248,DS,Business Services, NY,133,171,152.0
249,DS,Business Services, NJ,133,171,152.0
250,DS,Insurance, NJ,133,171,152.0
251,DS,Non-Profit, NY,133,171,152.0
252,DS,Information Technology, NY,133,171,152.0
254,DS,Business Services, NY,133,171,152.0
255,DS,Information Technology, NY,110,139,124.5
257,DS,Manufacturing, NY,110,139,124.5
258,DS,Insurance, NY,110,139,124.5
259,DS,Business Services, NY,110,139,124.5
260,DS,Information Technology, NY,110,139,124.5
261,DS,Information Technology, NJ,110,139,124.5
262,DS,Information Technology, NY,110,139,124.5
263,DS,Finance, NY,110,139,124.5
264,DS,Finance, NY,110,139,124.5
265,DS,Retail, NY,110,139,124.5
266,DS,Information Technology, NY,110,139,124.5
268,DS,Media, NY,110,139,124.5
269,DS,Information Technology, NY,110,139,124.5
271,DS,Finance, NY,110,139,124.5
272,DS,Information Technology, NY,110,139,124.5
